date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,GDP_bigmac,adj_price,USD,EUR,GBP,JPY,CNY
2003-04-01,BRA,BRL,Brazil,4.55,3.07,1.48208469055375,4136.50892307692,1.86050527384335,-0.11008,-0.37393,-0.39345,0.02395,0.20391
2003-04-01,GBR,GBP,Britain,1.99,0.632911392,3.14420000201229,23951.1904522613,2.39407101942403,0.46718,0.03218,0,0.68814,0.98484
2003-04-01,CAN,CAD,Canada,3.2,1.45,2.20689655172414,28409.064,2.5141117387109,-0.01937,-0.31011,-0.33162,0.12832,0.32663
2003-04-01,CHL,CLP,Chile,1400,716,1.95530726256983,5141.10457157143,1.88755682273686,0.15724,-0.18586,-0.21125,0.33153,0.56555
2003-04-01,CHN,CNY,China,9.9,8.28,1.19565217391304,2149.22,1.8069919587611,-0.26081,-0.47997,-0.49618,-0.14948,0
2003-04-01,CZE,CZK,Czech Republic,56.57,28.9,1.95743944636678,10961.2429520948,2.04428033453355,0.06969,-0.24746,-0.27092,0.23079,0.4471
2003-04-01,DNK,DKK,Denmark,27.75,6.78,4.0929203539823,22729.315827027,2.36116862609215,0.93649,0.36235,0.31988,1.22814,1.61974
2003-04-01,EGY,EGP,Egypt,8,5.92,1.35135135135135,1776.080025,1.79694412081459,-0.15988,-0.40896,-0.42739,-0.03335,0.13654
2003-04-01,EUZ,EUR,Euro area,2.71,0.909090909,2.9810000002981,22048.8713915553,2.34284575564863,0.42144,0,-0.03118,0.63551,0.92296
2003-04-01,HKG,HKD,Hong Kong,11.5,7.8,1.47435897435897,41990.6256,2.87983328869295,-0.42807,-0.59764,-0.61018,-0.34193,-0.22627
2003-04-01,HUN,HUF,Hungary,490,224,2.1875,7579.19257591837,1.95320916450752,0.25115,-0.1198,-0.14724,0.43958,0.69259
2003-04-01,IDN,IDR,Indonesia,16100,8740,1.84210526315789,1307.76930320497,1.78433354420401,0.15332,-0.18863,-0.21392,0.32701,0.56023
2003-04-01,JPN,JPY,Japan,262,120,2.18333333333333,39265.1085045802,2.80644111436158,-0.13089,-0.38857,-0.40763,0,0.17575
2003-04-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,7769.69523809524,1.95833898175085,-0.2434,-0.46772,-0.48431,-0.12945,0.02355
2003-04-01,MEX,MXN,Mexico,23,10.53,2.18423551756885,7946.10482608696,1.96308930353653,0.24299,-0.12554,-0.1528,0.4302,0.68155
2003-04-01,NZL,NZD,New Zealand,3.95,1.78,2.21910112359551,20237.6602025316,2.29407382625617,0.08064,-0.23976,-0.26346,0.24338,0.46191
2003-04-01,PER,PEN,Peru,7.9,3.46,2.28323699421965,2113.71918987342,1.80603600011013,0.41232,-0.00641,-0.03739,0.62503,0.91063
2003-04-01,PHL,PHP,Philippines,65,52.5,1.23809523809524,1937.51454461538,1.80129119698103,-0.23214,-0.4598,-0.47664,-0.1165,0.03877
2003-04-01,POL,PLN,Poland,6.3,3.89,1.61953727506427,7973.05523809524,1.96381501879244,-0.0787,-0.35186,-0.37206,0.06005,0.24635
2003-04-01,RUS,RUB,Russia,41,31.1,1.31832797427653,3947.5206,1.85541623441771,-0.20623,-0.44158,-0.45899,-0.08669,0.07382
2003-04-01,SGP,SGD,Singapore,3.3,1.78,1.85393258426966,28983.2205454545,2.52957251030111,-0.18124,-0.42399,-0.44195,-0.05793,0.10764
2003-04-01,ZAF,ZAR,South Africa,13.95,7.56,1.8452380952381,4496.69307526882,1.87020424000778,0.10223,-0.22457,-0.24874,0.26823,0.49113
2003-04-01,KOR,KRW,South Korea,3300,1220,2.70491803278689,11126.2490405455,2.04872358518483,0.47496,0.03765,0.0053,0.6971,0.99536
2003-04-01,SWE,SEK,Sweden,30,8.34,3.59712230215827,23044.44852,2.3696544556542,0.69582,0.19303,0.15584,0.95122,1.29415
2003-04-01,CHE,CHF,Switzerland,6.3,1.37,4.5985401459854,26248.2312380952,2.45592527015814,1.09177,0.47159,0.42571,1.4068,1.8298
2003-04-01,TWN,TWD,Taiwan,70,34.8,2.01149425287356,15872.1997371429,2.1765215878017,0.03244,-0.27366,-0.29631,0.18793,0.39671
2003-04-01,THA,THB,Thailand,59,42.7,1.38173302107728,3507.43172542373,1.84356561001382,-0.16271,-0.41096,-0.42932,-0.03661,0.13271
2003-04-01,TUR,TRY,Turkey,3750000,1600500,2.34301780693533,0.00247254272,1.74911826289756,0.49646,0.05278,0.01996,0.72184,1.02445
2003-04-01,USA,USD,United States,2.46,1,2.46,37101.45,2.74817855478029,0,-0.29649,-0.31842,0.1506,0.35282
2004-05-01,ARG,ARS,Argentina,4.36,2.95,1.47796610169492,5277.48924311927,2.08897727979903,-0.17519,-0.46255,-0.4535,-0.11494,0.13533
2004-05-01,AUS,AUD,Australia,3.25,1.43,2.27272727272727,30311.9768,2.6947772624577,-0.01679,-0.35933,-0.34855,0.05503,0.35337
2004-05-01,BRA,BRL,Brazil,5.4,3.18,1.69811320754717,3908.97625925926,2.05586115788893,-0.03707,-0.37254,-0.36199,0.03327,0.32545
2004-05-01,GBR,GBP,Britain,1.88,0.558659218,3.36519999925966,26369.4309574468,2.59937310458856,0.50926,-0.01655,0,0.61951,1.07746
2004-05-01,CAN,CAD,Canada,3.19,1.37,2.32846715328467,29521.2619122257,2.67564305552763,0.01452,-0.33892,-0.3278,0.08864,0.39647
2004-05-01,CHL,CLP,Chile,1400,641,2.18408736349454,5445.07735014286,2.09303268025801,0.21651,-0.20731,-0.19397,0.30537,0.6745
2004-05-01,CHN,CNY,China,10.4,8.28,1.256038647343,2243.23975,2.01555263764738,-0.27351,-0.52661,-0.51864,-0.22044,0
2004-05-01,COL,COP,Colombia,6500,2769.83,2.34671441929649,2307.4439116,2.01710628958036,0.35629,-0.11623,-0.10135,0.45537,0.86691
2004-05-01,CZE,CZK,Czech Republic,56.42,26.5,2.12905660377359,11548.4626728111,2.24072616566413,0.10769,-0.27821,-0.26607,0.18861,0.52472
2004-05-01,DNK,DKK,Denmark,27.75,6.22,4.46141479099679,23382.7565657658,2.52709971410767,1.05812,0.3411,0.36367,1.20847,1.83297
2004-05-01,EGY,EGP,Egypt,10,6.19,1.61550888529887,1477.56388,1.99702434032497,-0.05692,-0.38548,-0.37514,0.01197,0.29813
2004-05-01,EUZ,EUR,Euro area,2.74,0.833333333,3.2880000013152,22168.1761208438,2.497708546791,0.53466,0,0.01683,0.64676,1.11242
2004-05-01,HKG,HKD,Hong Kong,12,7.79,1.54043645699615,39703.206075,2.92203202527289,-0.38542,-0.59953,-0.59279,-0.34052,-0.15404
2004-05-01,HUN,HUF,Hungary,530,211,2.51184834123223,7985.09699735849,2.15449764353077,0.35915,-0.11436,-0.09946,0.45844,0.87085
2004-05-01,IDN,IDR,Indonesia,16100,9120,1.76535087719298,1432.64011832298,1.99593724741032,0.03111,-0.32812,-0.31681,0.10643,0.4193
2004-05-01,JPN,JPY,Japan,262,113,2.31858407079646,38810.8319835878,2.90043780618315,-0.06808,-0.39275,-0.38253,0,0.28277
2004-05-01,MYS,MYR,Malaysia,5.04,3.8,1.32631578947368,8272.01529761905,2.16144066966332,-0.28464,-0.53386,-0.52602,-0.23238,-0.01532
2004-05-01,MEX,MXN,Mexico,24,11.6,2.06896551724138,7937.48290833333,2.15334544841433,0.12011,-0.27012,-0.25784,0.20193,0.54181
2004-05-01,NZL,NZD,New Zealand,4.35,1.64,2.65243902439024,19211.9325517241,2.42617154013814,0.27451,-0.16951,-0.15554,0.36762,0.75435
2004-05-01,NOR,NOK,Norway,35.5,6.8491,5.18316275131039,23932.7066760563,2.54040774633801,1.37855,0.54989,0.57597,1.5523,2.27403
2004-05-01,PAK,PKR,Pakistan,110,57.76,1.90443213296399,914.456199090909,1.98339791307917,0.11938,-0.2706,-0.25833,0.20115,0.5408
2004-05-01,PER,PEN,Peru,8.99,3.49,2.57593123209169,1949.61853170189,2.00844741016673,0.49518,-0.02572,-0.00932,0.60441,1.05809
2004-05-01,PHL,PHP,Philippines,69,55.9,1.23434704830054,1940.16960724638,2.00821875926032,-0.28345,-0.53309,-0.52523,-0.23111,-0.01368
2004-05-01,POL,PLN,Poland,6.3,3.87,1.62790697674419,8326.91104761905,2.1627690709067,-0.12251,-0.42822,-0.4186,-0.05841,0.20784
2004-05-01,RUS,RUB,Russia,42,29,1.44827586206897,4707.74354761905,2.07519022177878,-0.18639,-0.46984,-0.46092,-0.12696,0.11991
