name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
South Korea,KOR,KRW,2500,952.4,20162.881,20653410.124,2006-05-01
Sri Lanka,LKA,LKR,190,102.955,1477.595,148459.868,2006-05-01
Mexico,MEX,MXN,29,11.3031,8626.151,94006.861,2006-05-01
Malaysia,MYS,MYR,5.5,3.6295,5678.332,21504.443,2006-05-01
Norway,NOR,NOK,43,6.1023,66924.047,431158.174,2006-05-01
New Zealand,NZL,NZD,4.45,1.62101,27384.825,38879.11,2006-05-01
Pakistan,PAK,PKR,130,60.055,948.828,56320.125,2006-05-01
Peru,PER,PEN,9.5,3.261,2677.739,8825.157,2006-05-01
Philippines,PHL,PHP,85,52.625,1261.241,69476.107,2006-05-01
Poland,POL,PLN,6.5,3.09915,8046.3,26020.26,2006-05-01
Russia,RUS,RUB,48,27.06375,5697.629,161330.068,2006-05-01
Saudi Arabia,SAU,SAR,9,3.749,15943.418,59787.818,2006-05-01
Singapore,SGP,SGD,3.6,1.5873,29961.308,49867.527,2006-05-01
Sweden,SWE,SEK,33,7.28455,43291.313,323519.809,2006-05-01
Thailand,THA,THB,60,38.445,2894.06,116399.489,2006-05-01
Turkey,TUR,TRY,4.2,1.5415,7405.476,9979.722,2006-05-01
Taiwan,TWN,TWD,75,32.141,16427.459,528611.003,2006-05-01
Ukraine,UKR,UAH,8.5,5.05,1839.515,9422.511,2006-05-01
Uruguay,URY,UYU,42.28,23.925,5663.499,138315.871,2006-05-01
United States,USA,USD,2.78,1,44034.256,44034.256,2006-05-01
Venezuela,VEN,VEF,5701.25,2519.58,5421.656,,2006-05-01
South Africa,ZAF,ZAR,13.95,6.597,6007.979,38222.259,2006-05-01
UAE,ARE,AED,10,3.6726,39389.226,144656.934,2007-01-01
Argentina,ARG,ARS,8.25,3.08875,5163.55,15094.732,2007-01-01
Australia,AUS,AUD,3.45,1.266865,36260.401,47471.037,2007-01-01
Brazil,BRA,BRL,6.4,2.1335,4806.171,11700.103,2007-01-01
Canada,CAN,CAD,3.63,1.17485,36440.967,44144.774,2007-01-01
Switzerland,CHE,CHF,6.3,1.2485,56407.381,70237.154,2007-01-01
Chile,CHL,CLP,1670,540.15,7558.009,4230727.997,2007-01-01
China,CHN,CNY,11,7.7743,1778.515,14574.192,2007-01-01
Colombia,COL,COP,6900,2239.325,3493.976,8109977.669,2007-01-01
Costa Rica,CRI,CRC,1130,509.535,4756.337,2271994.957,2007-01-01
Czech Republic,CZE,CZK,52.1,21.50115,13458.775,322437.47,2007-01-01
Denmark,DNK,DKK,27.75,5.75305,48998.314,293838.476,2007-01-01
Egypt,EGY,EGP,9.09,5.7,1331.362,8008.765,2007-01-01
Euro area,EUZ,EUR,2.94,0.771813376,33259.7521049953,26719.4267628036,2007-01-01
Britain,GBR,GBP,1.94,0.506034461,42143.874,23153.113,2007-01-01
Hong Kong,HKG,HKD,12,7.79845,26551.769,206517.447,2007-01-01
Hungary,HUN,HUF,590,194.4237,11200.063,2235336.601,2007-01-01
Indonesia,IDN,IDR,15900,9090,1404.348,13628832.874,2007-01-01
Japan,JPN,JPY,280,121.585,37819.107,4168354.311,2007-01-01
South Korea,KOR,KRW,2900,940.15,20162.881,20653410.124,2007-01-01
Sri Lanka,LKA,LKR,190,102.955,1477.595,148459.868,2007-01-01
Mexico,MEX,MXN,29,10.8894,8626.151,94006.861,2007-01-01
Malaysia,MYS,MYR,5.5,3.502,5678.332,21504.443,2007-01-01
Norway,NOR,NOK,41.5,6.1023,66924.047,431158.174,2007-01-01
New Zealand,NZL,NZD,4.6,1.42796,27384.825,38879.11,2007-01-01
Pakistan,PAK,PKR,140,60.055,948.828,56320.125,2007-01-01
Peru,PER,PEN,9.5,3.1895,2677.739,8825.157,2007-01-01
Philippines,PHL,PHP,85,49.05,1261.241,69476.107,2007-01-01
Poland,POL,PLN,6.9,2.97175,8046.3,26020.26,2007-01-01
Russia,RUS,RUB,49,26.5335,5697.629,161330.068,2007-01-01
Saudi Arabia,SAU,SAR,9,3.749,15943.418,59787.818,2007-01-01
Singapore,SGP,SGD,3.6,1.53795,29961.308,49867.527,2007-01-01
Sweden,SWE,SEK,32,7.04125,43291.313,323519.809,2007-01-01
Thailand,THA,THB,62,35.3,2894.06,116399.489,2007-01-01
Turkey,TUR,TRY,4.55,1.40975,7405.476,9979.722,2007-01-01
Taiwan,TWN,TWD,75,32.9255,16427.459,528611.003,2007-01-01
Ukraine,UKR,UAH,9,5.05,1839.515,9422.511,2007-01-01
Uruguay,URY,UYU,55,23.925,5663.499,138315.871,2007-01-01
United States,USA,USD,2.89,1,44034.256,44034.256,2007-01-01
Venezuela,VEN,VEF,6800,4125.278,5421.656,,2007-01-01
South Africa,ZAF,ZAR,15.5,7.10975,6007.979,38222.259,2007-01-01
UAE,ARE,AED,10,3.67285,45239.607,166142.458,2007-06-01
Argentina,ARG,ARS,8.25,3.0915,5976.082,18370.363,2007-06-01
Australia,AUS,AUD,3.45,1.17,37980.579,50415.544,2007-06-01
Brazil,BRA,BRL,6.9,1.913,5906.244,12848,2007-06-01
Canada,CAN,CAD,3.88,1.05345,40559.017,46007.907,2007-06-01
Switzerland,CHE,CHF,6.3,1.2112,59239.187,74276.659,2007-06-01
Chile,CHL,CLP,1565,526.75,9410.392,4990095.541,2007-06-01
China,CHN,CNY,11,7.6047,2128.055,16967.691,2007-06-01
Colombia,COL,COP,6900,1956,3836.672,9049154.845,2007-06-01
Costa Rica,CRI,CRC,1130,518.625,5309.271,2714244.87,2007-06-01
Czech Republic,CZE,CZK,52.9,21.11675,15281.951,345304.975,2007-06-01
Denmark,DNK,DKK,27.75,5.4603,52213.64,310502.944,2007-06-01
Egypt,EGY,EGP,9.54,5.69025,1563.739,8995.797,2007-06-01
Euro area,EUZ,EUR,3.057482443,0.733756466,35129.5364828728,27976.8273271361,2007-06-01
Britain,GBR,GBP,1.99,0.496610632,44589.681,24200.404,2007-06-01
Hong Kong,HKG,HKD,12,7.81555,28028.157,217741.408,2007-06-01
Hungary,HUN,HUF,600,180.2106,11472.076,2413610.102,2007-06-01
Indonesia,IDN,IDR,15900,9015,1765.794,16173465.629,2007-06-01
Japan,JPN,JPY,280,122.315,36021.9,4189322.191,2007-06-01
South Korea,KOR,KRW,2900,922.5,22596.681,21587532.442,2007-06-01
Sri Lanka,LKA,LKR,210,111.4,1698.156,176506.335,2007-06-01
Mexico,MEX,MXN,29,10.76755,9456.912,103073.172,2007-06-01
Malaysia,MYS,MYR,5.5,3.4345,6351.127,23297.244,2007-06-01
Norway,NOR,NOK,40,5.8139,74255.799,476227.19,2007-06-01
New Zealand,NZL,NZD,4.6,1.2797,26220.228,40369.866,2007-06-01
Pakistan,PAK,PKR,140,60.37,1032.277,61788.604,2007-06-01
Peru,PER,PEN,9.5,3.167,3130.79,10249.293,2007-06-01
Philippines,PHL,PHP,85,45.8975,1470.825,75474.329,2007-06-01
Poland,POL,PLN,6.9,2.75185,9065.1,28130.441,2007-06-01
Russia,RUS,RUB,52,25.64825,7416.316,201612.256,2007-06-01
Saudi Arabia,SAU,SAR,9,3.75045,17827.384,66852.69,2007-06-01
Singapore,SGP,SGD,3.95,1.52375,33768.446,53655.809,2007-06-01
Sweden,SWE,SEK,33,6.79165,46363.839,342083.955,2007-06-01
Thailand,THA,THB,62,34.455,3369.545,127645.035,2007-06-01
Turkey,TUR,TRY,4.75,1.2981,8007.819,11537.046,2007-06-01
Taiwan,TWN,TWD,75,32.7705,16892.883,549584.603,2007-06-01
Ukraine,UKR,UAH,9.25,5.0275,2319.286,11712.394,2007-06-01
Uruguay,URY,UYU,62,23.945,6377.451,153133.756,2007-06-01
