name,iso_a3,currency_code,local_price,dollar_ex,date
Ireland,IRL,IEP,1.48,1.54,1993-04-01T00:00:00Z
Italy,ITA,ITL,4500,1523,1993-04-01T00:00:00Z
Japan,JPN,JPY,391,113,1993-04-01T00:00:00Z
Malaysia,MYS,MYR,3.35,2.58,1993-04-01T00:00:00Z
Mexico,MEX,MXN,7.9,3.1,1993-04-01T00:00:00Z
Russia,RUS,RUR,780,686,1993-04-01T00:00:00Z
South Korea,KOR,KRW,2300,796,1993-04-01T00:00:00Z
Spain,ESP,ESP,325,114,1993-04-01T00:00:00Z
Sweden,SWE,SEK,25.5,7.43,1993-04-01T00:00:00Z
Switzerland,CHE,CHF,5.7,1.45,1993-04-01T00:00:00Z
Thailand,THA,THB,48,25.16,1993-04-01T00:00:00Z
United States,USA,USD,2.3,1,1994-04-01T00:00:00Z
Argentina,ARG,ARS,3.6,1,1994-04-01T00:00:00Z
Australia,AUS,AUD,2.45,1.42,1994-04-01T00:00:00Z
Austria,AUT,ATS,34,12,1994-04-01T00:00:00Z
Belgium,BEL,BEF,109,35.2,1994-04-01T00:00:00Z
Brazil,BRA,BRR,1500,959,1994-04-01T00:00:00Z
Britain,GBR,GBP,1.81,0.684931507,1994-04-01T00:00:00Z
Canada,CAN,CAD,2.86,1.39,1994-04-01T00:00:00Z
Chile,CHL,CLP,948,414,1994-04-01T00:00:00Z
China,CHN,CNY,9,8.7,1994-04-01T00:00:00Z
Czech Republic,CZE,CZK,50,29.7,1994-04-01T00:00:00Z
Denmark,DNK,DKK,25.75,6.69,1994-04-01T00:00:00Z
France,FRA,FRF,18.5,5.83,1994-04-01T00:00:00Z
Germany,DEU,DEM,4.6,1.71,1994-04-01T00:00:00Z
Greece,GRC,GRD,620,251,1994-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,1.91,1994-04-01T00:00:00Z
Hong Kong,HKG,HKD,9.2,7.73,1994-04-01T00:00:00Z
Hungary,HUN,HUF,169,103,1994-04-01T00:00:00Z
Italy,ITA,ITL,4550,1641,1994-04-01T00:00:00Z
Japan,JPN,JPY,391,104,1994-04-01T00:00:00Z
Malaysia,MYS,MYR,3.77,2.69,1994-04-01T00:00:00Z
Mexico,MEX,MXN,8.1,3.36,1994-04-01T00:00:00Z
Poland,POL,PLN,31000,22433,1994-04-01T00:00:00Z
Portugal,PRT,PTE,440,174,1994-04-01T00:00:00Z
Russia,RUS,RUR,2900,1775,1994-04-01T00:00:00Z
Singapore,SGP,SGD,2.98,1.57,1994-04-01T00:00:00Z
South Korea,KOR,KRW,2300,810,1994-04-01T00:00:00Z
Spain,ESP,ESP,345,138,1994-04-01T00:00:00Z
Sweden,SWE,SEK,25.5,7.97,1994-04-01T00:00:00Z
Switzerland,CHE,CHF,5.7,1.44,1994-04-01T00:00:00Z
Taiwan,TWN,TWD,62,26.4,1994-04-01T00:00:00Z
Thailand,THA,THB,48,25.3,1994-04-01T00:00:00Z
United States,USA,USD,2.32,1,1995-04-01T00:00:00Z
Argentina,ARG,ARS,3,1,1995-04-01T00:00:00Z
Australia,AUS,AUD,2.45,1.35,1995-04-01T00:00:00Z
Austria,AUT,ATS,39,9.72,1995-04-01T00:00:00Z
Belgium,BEL,BEF,109,28.4,1995-04-01T00:00:00Z
Brazil,BRA,BRL,2.45,0.9,1995-04-01T00:00:00Z
Britain,GBR,GBP,1.74,0.621118012,1995-04-01T00:00:00Z
Canada,CAN,CAD,2.77,1.39,1995-04-01T00:00:00Z
Chile,CHL,CLP,950,395,1995-04-01T00:00:00Z
China,CHN,CNY,9,8.54,1995-04-01T00:00:00Z
Czech Republic,CZE,CZK,50,26.2,1995-04-01T00:00:00Z
Denmark,DNK,DKK,26.75,5.43,1995-04-01T00:00:00Z
France,FRA,FRF,18.5,4.8,1995-04-01T00:00:00Z
Germany,DEU,DEM,4.8,1.38,1995-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,1.55,1995-04-01T00:00:00Z
Hong Kong,HKG,HKD,9.5,7.73,1995-04-01T00:00:00Z
Hungary,HUN,HUF,191,121,1995-04-01T00:00:00Z
Indonesia,IDN,IDR,3900,2231,1995-04-01T00:00:00Z
Israel,ISR,ILS,8.9,2.95,1995-04-01T00:00:00Z
Italy,ITA,ITL,4500,1702,1995-04-01T00:00:00Z
Japan,JPN,JPY,391,84.2,1995-04-01T00:00:00Z
Malaysia,MYS,MYR,3.76,2.49,1995-04-01T00:00:00Z
Mexico,MEX,MXN,10.9,6.37,1995-04-01T00:00:00Z
New Zealand,NZL,NZD,2.95,1.51,1995-04-01T00:00:00Z
Poland,POL,PLN,3.4,2.34,1995-04-01T00:00:00Z
Russia,RUS,RUR,8100,4985,1995-04-01T00:00:00Z
Singapore,SGP,SGD,2.95,1.4,1995-04-01T00:00:00Z
South Korea,KOR,KRW,2300,769,1995-04-01T00:00:00Z
Spain,ESP,ESP,355,124,1995-04-01T00:00:00Z
Sweden,SWE,SEK,26,7.34,1995-04-01T00:00:00Z
Switzerland,CHE,CHF,5.9,1.13,1995-04-01T00:00:00Z
Taiwan,TWN,TWD,65,25.7,1995-04-01T00:00:00Z
Thailand,THA,THB,48,24.6,1995-04-01T00:00:00Z
United States,USA,USD,2.36,1,1996-04-01T00:00:00Z
Argentina,ARG,ARS,3,1,1996-04-01T00:00:00Z
Australia,AUS,AUD,2.5,1.27,1996-04-01T00:00:00Z
Austria,AUT,ATS,36,10.7,1996-04-01T00:00:00Z
Belgium,BEL,BEF,109,31.2,1996-04-01T00:00:00Z
Brazil,BRA,BRL,2.95,0.99,1996-04-01T00:00:00Z
Britain,GBR,GBP,1.79,0.662251656,1996-04-01T00:00:00Z
Canada,CAN,CAD,2.86,1.36,1996-04-01T00:00:00Z
Chile,CHL,CLP,950,408,1996-04-01T00:00:00Z
China,CHN,CNY,9.6,8.35,1996-04-01T00:00:00Z
Czech Republic,CZE,CZK,51,27.6,1996-04-01T00:00:00Z
Denmark,DNK,DKK,25.75,5.85,1996-04-01T00:00:00Z
France,FRA,FRF,17.5,5.13,1996-04-01T00:00:00Z
Germany,DEU,DEM,4.9,1.52,1996-04-01T00:00:00Z
Hong Kong,HKG,HKD,9.9,7.74,1996-04-01T00:00:00Z
Hungary,HUN,HUF,214,150,1996-04-01T00:00:00Z
Israel,ISR,ILS,9.5,3.17,1996-04-01T00:00:00Z
Italy,ITA,ITL,4500,1551,1996-04-01T00:00:00Z
Japan,JPN,JPY,288,107,1996-04-01T00:00:00Z
Malaysia,MYS,MYR,3.76,2.49,1996-04-01T00:00:00Z
Mexico,MEX,MXN,14.9,7.37,1996-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,1.7,1996-04-01T00:00:00Z
New Zealand,NZL,NZD,2.95,1.47,1996-04-01T00:00:00Z
Poland,POL,PLN,3.8,2.64,1996-04-01T00:00:00Z
Russia,RUS,RUR,9500,4918,1996-04-01T00:00:00Z
Singapore,SGP,SGD,3.05,1.41,1996-04-01T00:00:00Z
South Africa,ZAF,ZAR,7,4.26,1996-04-01T00:00:00Z
South Korea,KOR,KRW,2300,779,1996-04-01T00:00:00Z
Spain,ESP,ESP,365,126,1996-04-01T00:00:00Z
Sweden,SWE,SEK,26,6.71,1996-04-01T00:00:00Z
Switzerland,CHE,CHF,5.9,1.23,1996-04-01T00:00:00Z
Taiwan,TWN,TWD,65,27.2,1996-04-01T00:00:00Z
Thailand,THA,THB,48,25.3,1996-04-01T00:00:00Z
United States,USA,USD,2.42,1,1997-04-01T00:00:00Z
Argentina,ARG,ARS,2.5,1,1997-04-01T00:00:00Z
Australia,AUS,AUD,2.5,1.29,1997-04-01T00:00:00Z
Austria,AUT,ATS,34,12,1997-04-01T00:00:00Z
Belgium,BEL,BEF,109,35.3,1997-04-01T00:00:00Z
Brazil,BRA,BRL,2.97,1.06,1997-04-01T00:00:00Z
Britain,GBR,GBP,1.81,0.613496933,1997-04-01T00:00:00Z
Canada,CAN,CAD,2.88,1.39,1997-04-01T00:00:00Z
Chile,CHL,CLP,1200,417,1997-04-01T00:00:00Z
China,CHN,CNY,9.7,8.33,1997-04-01T00:00:00Z
Czech Republic,CZE,CZK,53,29.2,1997-04-01T00:00:00Z
Denmark,DNK,DKK,25.75,6.52,1997-04-01T00:00:00Z
France,FRA,FRF,17.5,5.76,1997-04-01T00:00:00Z
Germany,DEU,DEM,4.9,1.71,1997-04-01T00:00:00Z
Hong Kong,HKG,HKD,9.9,7.75,1997-04-01T00:00:00Z
Hungary,HUN,HUF,271,178,1997-04-01T00:00:00Z
Israel,ISR,ILS,11.5,3.38,1997-04-01T00:00:00Z
Italy,ITA,ITL,4600,1683,1997-04-01T00:00:00Z
Japan,JPN,JPY,294,126,1997-04-01T00:00:00Z
Malaysia,MYS,MYR,3.87,2.5,1997-04-01T00:00:00Z
Mexico,MEX,MXN,14.9,7.9,1997-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,1.92,1997-04-01T00:00:00Z
New Zealand,NZL,NZD,3.25,1.45,1997-04-01T00:00:00Z
Poland,POL,PLN,4.3,3.1,1997-04-01T00:00:00Z
Russia,RUS,RUR,11000,5739,1997-04-01T00:00:00Z
Singapore,SGP,SGD,3,1.44,1997-04-01T00:00:00Z
South Africa,ZAF,ZAR,7.8,4.43,1997-04-01T00:00:00Z
South Korea,KOR,KRW,2300,894,1997-04-01T00:00:00Z
Spain,ESP,ESP,375,144,1997-04-01T00:00:00Z
Sweden,SWE,SEK,26,7.72,1997-04-01T00:00:00Z
Switzerland,CHE,CHF,5.9,1.47,1997-04-01T00:00:00Z
Taiwan,TWN,TWD,68,27.6,1997-04-01T00:00:00Z
Thailand,THA,THB,46.7,26.1,1997-04-01T00:00:00Z
United States,USA,USD,2.56,1,1998-04-01T00:00:00Z
Argentina,ARG,ARS,2.5,1,1998-04-01T00:00:00Z
Australia,AUS,AUD,2.65,1.51,1998-04-01T00:00:00Z
Austria,AUT,ATS,34,12.96,1998-04-01T00:00:00Z
Belgium,BEL,BEF,109,38,1998-04-01T00:00:00Z
Brazil,BRA,BRL,3.1,1.14,1998-04-01T00:00:00Z
Britain,GBR,GBP,1.84,0.602409639,1998-04-01T00:00:00Z
Canada,CAN,CAD,2.79,1.42,1998-04-01T00:00:00Z
Chile,CHL,CLP,1250,455,1998-04-01T00:00:00Z
China,CHN,CNY,9.9,8.28,1998-04-01T00:00:00Z
Czech Republic,CZE,CZK,54,34.4,1998-04-01T00:00:00Z
Denmark,DNK,DKK,23.8,7.02,1998-04-01T00:00:00Z
France,FRA,FRF,17.5,6.17,1998-04-01T00:00:00Z
Germany,DEU,DEM,4.95,1.84,1998-04-01T00:00:00Z
Hong Kong,HKG,HKD,10.2,7.75,1998-04-01T00:00:00Z
Hungary,HUN,HUF,259,213,1998-04-01T00:00:00Z
Indonesia,IDN,IDR,9900,8500,1998-04-01T00:00:00Z
Israel,ISR,ILS,12.5,3.7,1998-04-01T00:00:00Z
Italy,ITA,ITL,4500,1818,1998-04-01T00:00:00Z
Japan,JPN,JPY,280,135,1998-04-01T00:00:00Z
Malaysia,MYS,MYR,4.3,3.72,1998-04-01T00:00:00Z
Mexico,MEX,MXN,17.9,8.54,1998-04-01T00:00:00Z
Netherlands,NLD,NLG,5.45,2.07,1998-04-01T00:00:00Z
New Zealand,NZL,NZD,3.45,1.82,1998-04-01T00:00:00Z
Poland,POL,PLN,5.3,3.46,1998-04-01T00:00:00Z
Russia,RUS,RUR,12000,5999,1998-04-01T00:00:00Z
Singapore,SGP,SGD,3,1.62,1998-04-01T00:00:00Z
South Africa,ZAF,ZAR,8,5.04,1998-04-01T00:00:00Z
South Korea,KOR,KRW,2600,1474,1998-04-01T00:00:00Z
Spain,ESP,ESP,375,156,1998-04-01T00:00:00Z
Sweden,SWE,SEK,24,8,1998-04-01T00:00:00Z
Switzerland,CHE,CHF,5.9,1.52,1998-04-01T00:00:00Z
Taiwan,TWN,TWD,68,33,1998-04-01T00:00:00Z
Thailand,THA,THB,52,40,1998-04-01T00:00:00Z
United States,USA,USD,2.43,1,1999-03-01T00:00:00Z
Argentina,ARG,ARS,2.5,1,1999-03-01T00:00:00Z
Australia,AUS,AUD,2.65,1.59,1999-03-01T00:00:00Z
Brazil,BRA,BRL,2.95,1.73,1999-03-01T00:00:00Z
Britain,GBR,GBP,1.9,0.621118012,1999-03-01T00:00:00Z
Canada,CAN,CAD,2.99,1.51,1999-03-01T00:00:00Z
Chile,CHL,CLP,1259,484,1999-03-01T00:00:00Z
China,CHN,CNY,9.9,8.28,1999-03-01T00:00:00Z
Denmark,DNK,DKK,24.75,6.91,1999-03-01T00:00:00Z
Euro area,EUZ,EUR,2.52,0.925925926,1999-03-01T00:00:00Z
France,FRA,FRF,18.5,6.1,1999-03-01T00:00:00Z
Germany,DEU,DEM,4.95,1.82,1999-03-01T00:00:00Z
Italy,ITA,ITL,4500,1799,1999-03-01T00:00:00Z
Netherlands,NLD,NLG,5.45,2.05,1999-03-01T00:00:00Z
Spain,ESP,ESP,375,155,1999-03-01T00:00:00Z
Hong Kong,HKG,HKD,10.2,7.75,1999-03-01T00:00:00Z
Hungary,HUN,HUF,299,237,1999-03-01T00:00:00Z
Indonesia,IDN,IDR,14500,8725,1999-03-01T00:00:00Z
Israel,ISR,ILS,13.9,4.04,1999-03-01T00:00:00Z
Japan,JPN,JPY,294,120,1999-03-01T00:00:00Z
Malaysia,MYS,MYR,4.52,3.8,1999-03-01T00:00:00Z
Mexico,MEX,MXN,19.9,9.54,1999-03-01T00:00:00Z
New Zealand,NZL,NZD,3.4,1.87,1999-03-01T00:00:00Z
Poland,POL,PLN,5.5,3.98,1999-03-01T00:00:00Z
Russia,RUS,RUB,33.5,24.7,1999-03-01T00:00:00Z
Singapore,SGP,SGD,3.2,1.73,1999-03-01T00:00:00Z
South Africa,ZAF,ZAR,8.6,6.22,1999-03-01T00:00:00Z
South Korea,KOR,KRW,3000,1218,1999-03-01T00:00:00Z
Sweden,SWE,SEK,24,8.32,1999-03-01T00:00:00Z
Switzerland,CHE,CHF,5.9,1.48,1999-03-01T00:00:00Z
Taiwan,TWN,TWD,70,33.2,1999-03-01T00:00:00Z
Thailand,THA,THB,52,37.6,1999-03-01T00:00:00Z
